1,joints,(0.4724642153140562,-0.6720151390668989,2.6081166962217806);(0.4762464131471174,-0.7026518072721601,2.628325218899202);(0.47675305262770823,-0.7032947625753523,2.6291091093849657);(0.47646599665846995,-0.7033682551023603,2.6289586523603914);(0.45097362652983836,-0.7011944141027571,2.621195788128328);(0.45151735500064066,-0.7022172298071028,2.6203953871559618);(0.45177970484461955,-0.7034297670957685,2.621510321838808);(0.47969287291732005,-0.6733394946691633,2.726446847064447);(0.36325470761027506,-0.6768619503614546,2.6819115826916216);(0.4744800294991987,-0.6429258074400068,2.641647155029726);(0.4394671286698835,-0.6422876205083967,2.6303248653244493);(0.5504142011758344,-0.5340750898954512,2.7270616689753053);(0.21467843309607676,-0.5259917463895918,2.739169827295494);(0.7412512864228742,-0.6313952889082075,2.686614813847494);(0.006871965086128029,-0.4501354481813551,2.756330608023357);(0.9407525326367872,-0.7438170399305464,2.567887494904947);(-0.16882700070175954,-0.4980359162923933,2.6987577999066827);(0.9929580356236951,-0.7609216060278059,2.5465688059162614);(-0.20497265800270864,-0.5087679113981367,2.694782341463518);(0.9890590573903577,-0.777495809995854,2.521067390782785);(-0.2161630128267748,-0.5334522809621931,2.668141643149805);(0.9480309154149549,-0.7494256581899763,2.5518882522415636);(-0.1771215830687029,-0.5043333258268476,2.683279360277605);(0.4132637794372099,0.007785602307593755,2.7350710580181596);(0.2124125029202955,-0.026031454258883067,2.814569974882555);(0.37430360198583773,0.39997809270647755,2.6785999709796426);(0.1998497064467924,0.3300760004880785,2.8507166901659486);(0.43264929608073405,0.7644144807222246,2.71934933085556);(0.33257735178437403,0.6842873607042192,3.0093884864878175);(0.43725869462456873,0.8118118558290361,2.7136670896839616);(0.3390556763168829,0.7309629831674456,3.0166788050961015);(0.39170487627949885,0.8632973943117022,2.596656019432497);(0.2507842223402517,0.7841689501169085,2.9526122758221147);
2,joints,(0.47084951633540106,-0.6601035513405353,2.6106524701717935);(0.4753054403695197,-0.6898888267998249,2.629653968990191);(0.47579939896193457,-0.6905145563606769,2.6303942586783013);(0.4755217605265708,-0.6906415738586933,2.6302350546721063);(0.44966329866972876,-0.6900434412483722,2.6244527037743173);(0.45019231969443274,-0.691072873068288,2.6235492016676507);(0.45043082768050147,-0.6922851719383747,2.6245737161043725);(0.48529990250197363,-0.6579319753174335,2.7310930352214418);(0.36438926914659453,-0.6673200644974262,2.6933957125547967);(0.4731500768097968,-0.6302700557236225,2.6455405886772714);(0.43792636925307227,-0.6313390054230243,2.6364084418419442);(0.5521442466410728,-0.5169153728012592,2.7405573848191342);(0.21397648239460898,-0.5188776173119098,2.753575009435757);(0.7347188466223807,-0.6018878736023456,2.665917591333731);(0.0020861201914877947,-0.47181790251775085,2.7756544380936465);(0.8111603134306998,-0.7606590904716999,2.504774951517924);(-0.13701380556496667,-0.5559087910179645,2.7193449597362123);(0.8228090577754111,-0.7955911674026996,2.4742445285919747);(-0.15345386927994775,-0.5767651118759662,2.712730580151423);(0.80990441376296,-0.8212447680954487,2.466154151738032);(-0.15891892975243616,-0.6013756908897907,2.69788826364313);(0.8065595203074546,-0.7753325619225055,2.495894872725352);(-0.13833911484154748,-0.5659450211052448,2.708689966380938);(0.41225461149540854,0.016634843083783966,2.7496445972028813);(0.21039016777602149,-0.017501729768946785,2.827428196698769);(0.3739253864618869,0.4145204208369702,2.6947286363247476);(0.1996760317119689,0.343665429162547,2.8465121883455358);(0.4325282447966666,0.7808404646392315,2.747291491508826);(0.34981706598726225,0.672209688233897,3.014694028675898);(0.4375310563477607,0.8283481083388775,2.743384321362122);(0.36072080442634535,0.7153155289168804,3.0241089399460397);(0.40145254367915106,0.8820436678405255,2.625749089897021);(0.3008245662781329,0.7858139954085797,2.9619338001612268);
3,joints,(0.48291578539282376,-0.6414281281174811,2.621528580664845);(0.48830794938475186,-0.6711976679505499,2.640491738795491);(0.48882366367250973,-0.6718225034417303,2.641157135247441);(0.488521199902597,-0.671948388451496,2.6410341857664306);(0.4618670458403259,-0.671405151719013,2.635731547950955);(0.4623577708807617,-0.6724221261681708,2.634739220022412);(0.4624822551813751,-0.6736379417122992,2.6355911492101867);(0.5033243114557892,-0.6375250371636542,2.7422001658670623);(0.3803174684253364,-0.6476937087716254,2.7078981249324996);(0.48759375162989194,-0.6113280209244879,2.656387388586255);(0.45131194986969525,-0.6124662908257635,2.6481001077882964);(0.5697958434429794,-0.49809177243129327,2.7564862779073436);(0.23426495142847592,-0.49949009739772393,2.766968414067479);(0.7420873905029922,-0.5974141510666998,2.6635315417043883);(0.009579237779679839,-0.48859889828578545,2.7226642145507056);(0.707299407800737,-0.7955385001839789,2.530757456897946);(-0.07431388250916904,-0.6104437264146002,2.5823650805942733);(0.69060614355475,-0.8311432751359137,2.5008491276495177);(-0.0731654500159592,-0.6434513481797369,2.5575536041252334);(0.6645575726833969,-0.857376352185169,2.4993678032152373);(-0.06618532888024753,-0.6675258430184515,2.560021206616612);(0.6922067964878708,-0.8108284624756964,2.526125460743161);(-0.06689945212930148,-0.6227893980683478,2.5764563082449157);(0.43763115652472073,0.035371351754507264,2.7730006425373275);(0.2353604922500282,0.0012706217823831648,2.8406809194676597);(0.3945916967895656,0.4408944693861811,2.723386555790158);(0.2198294440713554,0.3574730304537623,2.8410229420952517);(0.4404184708800941,0.8100137559233515,2.7876391558639724);(0.3772561291661888,0.6540669051466791,3.021653368949147);(0.445292782267633,0.8570116010962335,2.78602181921825);(0.39017168082863385,0.693747743731579,3.0335800050489623);(0.42625847854286725,0.9109021273909418,2.6725846825830657);(0.3460542776119738,0.7750570622740595,2.975637003659459);
4,joints,(0.4851229992347814,-0.6397793734972526,2.65088796071401);(0.48813573090611473,-0.6700333798830558,2.670071298402456);(0.48867068259297386,-0.6706433738176871,2.6707597618519343);(0.4883046057659246,-0.6707966173594047,2.6706281696974314);(0.4606995192009069,-0.6700485194628287,2.6648266261040248);(0.46124440996228233,-0.6710327709620048,2.663863832276968);(0.4613040146070577,-0.6722732032244254,2.664796495956091);(0.5083481129842855,-0.6369374836390067,2.770752379816679);(0.3815026004451372,-0.6444703186457206,2.7392334585606135);(0.49378552107392326,-0.6095803225939322,2.6851224695860423);(0.4561620485621549,-0.6097057307665397,2.6771773045479335);(0.5797446277576543,-0.4986161435549308,2.7874039915918387);(0.25280982075510994,-0.49564294466424474,2.799727531295923);(0.7271760758596517,-0.6253445590441276,2.7007138376652278);(0.03272152511654869,-0.4881742442553092,2.721367614489702);(0.6616365668016531,-0.8434446896021415,2.5987978821217097);(0.002563869639024885,-0.6192707861368705,2.5327981954037226);(0.6367813107210256,-0.8787758196299125,2.564945751947073);(0.013273900433168562,-0.6538544739191581,2.500158542913107);(0.6072439458805181,-0.9049547756617118,2.586993361037878);(0.027064299269304426,-0.6765189016764213,2.5082831030308284);(0.6441815253931142,-0.8582335556452323,2.6063237135826625);(0.015844738169298322,-0.6313372696344901,2.5285358672558345);(0.46021742938338295,0.03597299805235378,2.8059349098770894);(0.2579616066652395,0.0018850178862761628,2.8645889462499894);(0.40273250459013954,0.44481708159994593,2.755129227560667);(0.24807739822445884,0.3563791071469735,2.8726071474670447);(0.4450798016625501,0.8176075374181222,2.814931212139038);(0.40200246317564026,0.6602729713017892,3.0420004373013056);(0.45062788395463005,0.8642318402821969,2.813183885213641);(0.4145605844098188,0.7014312302167367,3.051781544607786);(0.4447626006442167,0.9137433921391915,2.7001180594383754);(0.37673117971299663,0.7787407194669198,2.986008862179426);
5,joints,(0.4883553594507172,-0.6075449662895177,2.6336993477608175);(0.4893032893694832,-0.643047459671018,2.6510677687193365);(0.4898976892389252,-0.643571563312528,2.65171635666146);(0.48953004033937,-0.6438486653060888,2.651705210592887);(0.46037418247832795,-0.6416787582130407,2.6452961168552847);(0.4609485700882866,-0.6424955802650426,2.644294505503318);(0.4609631210721924,-0.6438089686126683,2.6449111304546804);(0.5117069170035317,-0.6256799178810094,2.7600531033541174);(0.3789028640992834,-0.6247667747230504,2.7230071774984808);(0.4994306996621086,-0.5827614742011998,2.673401986744544);(0.46015109719409486,-0.5797823148460363,2.6637490741278143);(0.5853803292073204,-0.4929809647293065,2.78912085064902);(0.26116175057067414,-0.4805871921272252,2.7783901221419782);(0.7233899817027046,-0.6252288299293493,2.6989037297035665);(0.049760966018576824,-0.4886194544525121,2.6344078830744238);(0.6251324102438881,-0.8113161998481725,2.6076903692747564);(0.09630110712422868,-0.6214794593543981,2.4482900104786367);(0.5887927249230339,-0.8383385019988988,2.576263090160033);(0.12472253890409013,-0.6543930249900792,2.415514459397933);(0.5542464092530205,-0.8586980777473424,2.6046383283401937);(0.14407044501676103,-0.6712761598319982,2.4388636849190206);(0.6034406408823921,-0.8208617644996618,2.6183629087473363);(0.1152350291766121,-0.630572922775266,2.4506141147877187);(0.46891858281268617,0.04130986308145778,2.8270947789142937);(0.2656491160549118,0.00893822101342933,2.858044031571886);(0.40847246573938867,0.44247441714096325,2.7616298697258443);(0.26919849814548036,0.37453111236381786,2.883202762838742);(0.434569305197139,0.810946635654452,2.8050269908572645);(0.42473115624560853,0.6717280668525721,3.0450980416799993);(0.43877360822333833,0.8562868756561305,2.802575217124364);(0.43939670772923967,0.7130206150321986,3.0556542924906225);(0.4456732779897644,0.9099004191665675,2.687027444627425);(0.42318257914557,0.7960098308830287,2.987588693883559);
6,joints,(0.4621039223491503,-0.6063418938134347,2.6471119427373404);(0.46425198433988824,-0.643471355578724,2.6628008091142172);(0.46491627810590996,-0.6439526034806405,2.66336763438487);(0.46445081798427834,-0.6442749453995859,2.6633954995563025);(0.43280259190195336,-0.641184146544758,2.6607874238183493);(0.4334540334164454,-0.6419944716904794,2.659759795038938);(0.4334714454233004,-0.6433259202454721,2.6604077869346137);(0.5034669902741267,-0.6289671613190805,2.771298674612283);(0.3622735761671616,-0.6266691638444101,2.7482463770797247);(0.4820493799268557,-0.5834972216103708,2.6875572108914847);(0.4399160486280276,-0.5794376684640085,2.682480400173902);(0.5832432773529841,-0.5003037406418954,2.808728748678207);(0.26079661814564004,-0.4829021645997202,2.7978636973788733);(0.7100049969374491,-0.6313405586693918,2.7217612319877142);(0.07897148696773781,-0.4873802019570505,2.6342289203097815);(0.5903583434044672,-0.8090460254166757,2.6576503717591757);(0.13670842019909157,-0.6139417244408761,2.4283055120398993);(0.5496509191214396,-0.8324121190522348,2.639399876563787);(0.16414482561939492,-0.6444721771691476,2.3917270356109137);(0.5176184740483118,-0.8471611095879709,2.6690499984910483);(0.18393462566726937,-0.6591256810639535,2.4156388693740363);(0.5690672960697962,-0.8150603128884469,2.6713818067004675);(0.1555728283345057,-0.6213626219247018,2.4307024830272193);(0.467239845973189,0.038491549872931324,2.8547723132436866);(0.26357901511781945,0.0074851391549671485,2.881559993817448);(0.40751763476126923,0.4251430676962698,2.784329188733339);(0.2711108591973139,0.37939635381954556,2.9012220033695693);(0.43170202938907876,0.7921527670409049,2.8115369060328);(0.4413887676417185,0.6838773535277213,3.0208447479894156);(0.43548139600151314,0.8369349883581961,2.807213952510595);(0.45905812500112786,0.7245177672888602,3.02789243098998);(0.43951650379293694,0.8831322835470999,2.689468851058721);(0.4451342341124369,0.8303124950911368,2.9544786119153494);
7,joints,(0.4568707313242902,-0.6048233329060503,2.643868086561555);(0.45941632649335756,-0.6425799547436662,2.6593699731677716);(0.460091051072215,-0.643044155717177,2.65992700837552);(0.459622066825961,-0.6433846770527788,2.6599616386741345);(0.4277101050916661,-0.6400710164311357,2.6577204891294186);(0.4283718433085431,-0.6408800302746721,2.6566724457591717);(0.428400162965392,-0.642221253991408,2.657363069877023);(0.5002611692849148,-0.6299617110493608,2.768786115273828);(0.3572046536806573,-0.6270138441327043,2.7488016911596005);(0.4772460576001157,-0.5827178775074907,2.6849712856858914);(0.4346398230496396,-0.578358572602553,2.6805850692838376);(0.5816242512169827,-0.503545385480208,2.8103783481568043);(0.2607029270235051,-0.4834245263340898,2.7954858817905133);(0.7058606561127652,-0.6337951837780901,2.727855382189149);(0.08602048119935884,-0.48635182964829876,2.6265795507281964);(0.5893139507475842,-0.8064415870907732,2.674722281917924);(0.14124688169393435,-0.6119798241856523,2.4221144594997113);(0.5489407446089734,-0.8283102332356401,2.6596682348102276);(0.1690797772112836,-0.642382305741591,2.38586056016385);(0.5173484053317059,-0.8410280762913652,2.68561219953);(0.18881679734620943,-0.655969005704207,2.4107986667007153);(0.5682603385153759,-0.8112959085705705,2.6871927060931866);(0.1600443687144269,-0.6188399611714311,2.4249041058868115);(0.46668829432163134,0.0370281397622995,2.8629492406547015);(0.2627268474403371,0.007188748873489342,2.8864502233266776);(0.40718549153242006,0.4191106439826064,2.790371818169946);(0.27305838874015703,0.3842976273295455,2.9077964515238945);(0.43011273852023973,0.7850178064105086,2.8142305404692833);(0.44997651538286104,0.6941274584528975,3.02779887400567);(0.4338415380421628,0.8296931565997175,2.8094928317516987);(0.46810945531759157,0.7348458946940474,3.0350661852210705);(0.4378027211729039,0.874877351641374,2.6911397703736966);(0.45190027764472857,0.843515116095262,2.9613534637540524);
8,joints,(0.4240004353050311,-0.5983232979609683,2.665692058437557);(0.42636594621578056,-0.6352741842105105,2.6797922375137517);(0.42709910197296935,-0.6357649688555911,2.6802790286476323);(0.4266126535657962,-0.6360791449382022,2.680335206025333);(0.3949715483758767,-0.6329922203852847,2.6813076409036825);(0.3956395748827775,-0.6338267450167849,2.680287075274677);(0.3956561468366702,-0.6351465706660464,2.680820939176769);(0.483702552301081,-0.6282241468264773,2.781682868533821);(0.3413325536821206,-0.6185847644641116,2.770434555643291);(0.45189854947963554,-0.5753659729792788,2.7041690024072835);(0.40961393786707717,-0.5714572195841983,2.703888920181484);(0.5775137066666205,-0.5028068547084048,2.801765506201477);(0.2611899792973121,-0.4778929476573183,2.8208582820827672);(0.6590719491068442,-0.6228051309420779,2.6312660994465062);(0.09942385254541236,-0.4821083073451235,2.6544187190468023);(0.5215631991449912,-0.7947058801486209,2.5149586918289373);(0.1590483158651908,-0.60157628105423,2.444231373303623);(0.4803696617309173,-0.8139509682490542,2.4838744523460576);(0.18801806567350227,-0.6304016833140567,2.402795565360279);(0.45050391255060035,-0.8102786664797976,2.5089421989853093);(0.21430399714151221,-0.6443157319857791,2.424700033896656);(0.49989978669324714,-0.7914005045726016,2.522966099017353);(0.18074568806329566,-0.6081737403704837,2.444312018388004);(0.46662664113679725,0.044569446431188355,2.8812384540672014);(0.263754640502127,0.017211750806956062,2.9101875955695817);(0.4071622647170146,0.4166489417717741,2.814205084973068);(0.28327747879663306,0.409755575196533,2.9368411945635984);(0.4314098998729308,0.7766152496502683,2.8529426688785264);(0.4642522379581054,0.7303871984646604,3.049737256997318);(0.4386893406335433,0.8210140342877195,2.849419673019142);(0.4828201576892455,0.7716340298817441,3.0548462393219182);(0.4484824284736236,0.860560166375427,2.731492039793224);(0.4643161192361434,0.8685838456318662,2.9738014685446927);
9,joints,(0.40334418291388197,-0.5935324069162508,2.7080585843994656);(0.40620316812930746,-0.632014476885428,2.7213185018971005);(0.40692493939934415,-0.632465326418509,2.721804682083372);(0.4064701485091273,-0.632772111525168,2.721837419934515);(0.37473144862963004,-0.6283781763216157,2.724011395044569);(0.37540990781201167,-0.6292404767175813,2.723022449679617);(0.3754037694649224,-0.6305111881395479,2.7235150075628796);(0.4718606012517039,-0.6282481785913606,2.8200050628855267);(0.3298325712436263,-0.6159539457460542,2.8187113664224186);(0.4348123657160823,-0.5727650757928987,2.745571572251562);(0.39263389693735284,-0.5677419539590974,2.7455042786076107);(0.5728061112218921,-0.50399669372045,2.8354785329773464);(0.26595600569782896,-0.4770335193773409,2.86118024206901);(0.6324786307865207,-0.6150086756845613,2.6491053885891476);(0.13373785341320676,-0.47848155461751424,2.696669164963011);(0.5047907742315356,-0.7839306827684541,2.5186455733253994);(0.18386550868092222,-0.5936216350694795,2.480805743403677);(0.4673176097327296,-0.8047058221002718,2.4843634850456753);(0.20762973154125852,-0.6212041612764497,2.4375179297401943);(0.43907987201748533,-0.7969984050890108,2.5063721425011196);(0.23189582551060361,-0.6349340315958162,2.455796081490759);(0.4838491814786021,-0.7786616321703096,2.524524349637274);(0.20344707990227384,-0.5998170610567232,2.478861231274847);(0.4704249041729991,0.04645915217197934,2.9190122614725866);(0.2695378425174777,0.02110252603388825,2.950000662274603);(0.40796258548436803,0.4159370128015379,2.8572924471571484);(0.28866258884010954,0.412532276282678,2.9773939996137657);(0.44138196731148405,0.7729552749494414,2.9027821513935366);(0.46446632469235105,0.7435109380582671,3.073853854007963);(0.45277636373577757,0.8170444134572844,2.8996820150985756);(0.48212319487867994,0.78523830212153,3.077087018556837);(0.46388821179209394,0.8566497329572539,2.7823548055365124);(0.4648498880320613,0.8737126354078154,2.9911149962916412);
10,joints,(0.35837369251825146,-0.5816632514653735,2.7592538331505803);(0.36264432876199715,-0.6226589089093737,2.7615230117795018);(0.36328885311089687,-0.6230432396588854,2.7620333467480687);(0.3627398899087333,-0.6233283882794909,2.762028459167197);(0.3339246067015105,-0.6152777081189684,2.778071406936362);(0.33453574802555375,-0.6160281902013354,2.7771578465458897);(0.3344851772097521,-0.6173791294751696,2.7777819220778492);(0.44638168837703995,-0.6339486246762804,2.826475653505042);(0.3182397189346724,-0.6098160749135546,2.8925956447479275);(0.3997507470456534,-0.5680512791333727,2.78599296853514);(0.3621236670558923,-0.558877885883861,2.8055634830948857);(0.5628710317222052,-0.510776341503673,2.848772797441199);(0.2702586057392531,-0.4813557868657641,2.9438235645052937);(0.5802678989974432,-0.6237438326535754,2.755608606791213);(0.14098749335684113,-0.49155628735404533,2.79977430746527);(0.49532220538534455,-0.7999620443044237,2.775057214951232);(0.17878057833589844,-0.6210718160329394,2.5238276307341603);(0.4647124412266188,-0.8215249186215929,2.767885435080245);(0.19861594613470368,-0.6445668345151476,2.45745332882376);(0.44784946020521454,-0.8201889997182421,2.783187050080016);(0.2257731783000403,-0.6563345199285082,2.509028125261977);(0.4809877875057631,-0.7984019523320727,2.7841316942927388);(0.19892611380495362,-0.6254355912862353,2.528813589071944);(0.46444546457208924,0.03648900093305784,2.9050043781158474);(0.26855985101141266,0.011781848424858625,2.9592618604061154);(0.3965741566178971,0.40177249854225594,2.8228152875659016);(0.2960869299975806,0.40093779509682137,2.975584868049338);(0.4383416476456099,0.7587338084520765,2.8066165332552937);(0.4903719055262976,0.749679505282826,3.039836797570899);(0.45137544747270875,0.80248844569344,2.8000869934317616);(0.5092871862260275,0.7932539576830335,3.0416602228638676);(0.4497231918183737,0.8484899992289014,2.6793699149844197);(0.46852926190771393,0.8767687076868482,2.960571838250473);
